origin_state_abr,dest_state_abr,latitude,longitude
AK,AK,63.588753,-154.493062
AL,AL,32.318231,-86.902298
AR,AR,35.20105,-91.831833
AZ,AZ,34.048928,-111.093731
CA,CA,36.778261,-119.417932
CO,CO,39.550051,-105.782067
CT,CT,41.603221,-73.087749
DC,DC,38.905985,-77.033418
DE,DE,38.910832,-75.52767
FL,FL,27.664827,-81.515754
GA,GA,32.157435,-82.907123
HI,HI,19.898682,-155.665857
IA,IA,41.878003,-93.097702
ID,ID,44.068202,-114.742041
IL,IL,40.633125,-89.398528
IN,IN,40.551217,-85.602364
KS,KS,39.011902,-98.484246
KY,KY,37.839333,-84.270018
LA,LA,31.244823,-92.145024
MA,MA,42.407211,-71.382437
MD,MD,39.045755,-76.641271
ME,ME,45.253783,-69.445469
MI,MI,44.314844,-85.602364
MN,MN,46.729553,-94.6859
MO,MO,37.964253,-91.831833
MS,MS,32.354668,-89.398528
MT,MT,46.879682,-110.362566
NC,NC,35.759573,-79.0193
ND,ND,47.551493,-101.002012
NE,NE,41.492537,-99.901813
NH,NH,43.193852,-71.572395
NJ,NJ,40.058324,-74.405661
NM,NM,34.97273,-105.032363
NV,NV,38.80261,-116.419389
NY,NY,43.299428,-74.217933
OH,OH,40.417287,-82.907123
OK,OK,35.007752,-97.092877
OR,OR,43.804133,-120.554201
PA,PA,41.203322,-77.194525
PR,PR,18.220833,-66.590149
RI,RI,41.580095,-71.477429
SC,SC,33.836081,-81.163725
SD,SD,43.969515,-99.901813
TN,TN,35.517491,-86.580447
TX,TX,31.968599,-99.901813
UT,UT,39.32098,-111.093731
VA,VA,37.431573,-78.656894
VT,VT,44.558803,-72.577841
WA,WA,47.751074,-120.740139
WI,WI,43.78444,-88.787868
WV,WV,38.597626,-80.454903
WY,WY,43.075968,-107.290284
